8/17/1999,PA-28-181,2228Z,1,GRB FCM,2.8,2.8,,1,,,,,2.8,,2.8,,2.8,,,,,,
8/20/1999,PA-28-161,4349K,1,FCM UCB FCM,1.5,1.5,,1,,,,,1.5,,1.5,,1.5,,1.5,,,,
8/25/1999,PA-28-181,2228Z,1,FCM MTW,2.5,2.5,,1,,,,,,,2.5,,2.5,,2.5,,,,
8/25/1999,PA-28-181,2228Z,1,MTW FCM,3.0,3.0,,1,,,,,,,3.0,,3.0,,3.0,,,,
9/2/1999,PA-28-161,2208V,1,FCM HCD FCM,1.4,1.4,,2,,,,,,,1.4,,1.4,,1.4,,,,
9/3/1999,PA-38,9350T,1,FCM FCM,0.9,,,5,,,,,,,,,0.9,,0.9,,,,
9/18/1999,PA-28-R-201,1641H,1,FCM FCM,1.6,,,4,,,,,,,,,1.6,,1.6,,,,
9/18/1999,PA-28-R-201,1641H,1,FCM FCM,1.3,,,4,,,0.3,,,,,,1.3,,1.3,,,,
9/23/1999,PA-28-R-201,8265S,1,FCM FCM,1.4,,,4,,,,,,,,,1.4,,1.4,,,,
9/23/1999,DA-20,202TB,1,FCM FCM,1.6,,,5,,,,,,,,,1.6,,,,,,
9/25/1999,PA-28-161,4349K,1,FCM GYL FCM,1.5,1.5,,5,,,,,,,,,1.5,,1.5,,,,
9/25/1999,PA-28-161,4349K,1,FCM FCM,1.2,,,4,,,,,,,,,1.2,,1.2,,,,
10/2/1999,PA-28-R-201,8265S,1,FCM FCM,2.0,,,10,,,,,,,,,2.0,,2.0,,,,
10/7/1999,PA-28-161,4337V,1,FCM FCM,2.0,,,7,,,0.4,,,,,,2.0,,2.0,,,,
10/7/1999,PA-28-161,4349K,1,FCM FCM,1.0,,,2,,,,,,,,,1.0,,1.0,,,,
10/14/1999,PA-28-R-201,8265S,1,FCM FCM,2.0,,,6,,,0.6,,,,,,2.0,,2.0,,,,
10/15/1999,PA-28-161,4349K,1,FCM FCM,2.0,,,2,,,,,,,,,2.0,,,,,,
10/17/1999,PA-28-161,4349K,1,FCM FCM,1.5,,,5,,,,,,,,,1.5,,,,,,
10/20/1999,DA-20,201TB,1,FCM FCM,1.6,,,7,,,,,,,,,1.6,,,,,,
10/21/1999,PA-28-161,4349K,1,FCM FCM,1.5,,,2,,,,,,,,,1.5,,1.5,,,,
10/28/1999,PA-28-161,4337V,1,FCM FCM,1.5,,,3,,,,,,,,,1.5,,1.5,,,,
10/28/1999,PA-28-R-201,1641H,1,FCM FCM,1.5,,,4,,,,,,,,,1.5,,1.5,,,,
10/30/1999,PA-28-161,2240G,1,FCM FCM,1.3,,,8,,,,,,,,,1.3,,,,,,
10/30/1999,PA-28-161,2240G,1,FCM FCM,1.1,,,7,,,,,,,,,1.1,,,,,,
11/4/1999,PA-28-161,2240G,1,FCM FCM,1.2,,,6,,,,,,,,,1.2,,,,,,
11/6/1999,PA-28-161,2240G,1,FCM STP FCM,1.5,1.5,,3,,,,,,,,,1.5,,,,,,
11/18/1999,PA-28-161,2208V,1,FCM FCM,1.0,,,1,,,,,,,,,1.0,,,,,,
11/20/1999,PA-28-161,8068C,1,FCM FCM,1.1,,,1,,,,,,,,,1.1,,,,,,
12/2/1999,PA-28-R-201,1641H,1,FCM FCM,1.1,,,1,,,,,,,,,1.1,,1.1,,,,
12/4/1999,PA-28-R-201,1641H,1,FCM FCM,0.8,,,2,,,0.5,,,,,,0.8,,0.8,,,,
12/15/1999,PA-28-181,92505,1,FCM STC FCM,1.2,1.2,,4,,,0.3,,,,,,1.2,,1.2,,,,
12/16/1999,PA-28-161,2208V,1,FCM FCM,1.1,,,2,,,0.2,,,,,,1.1,,1.1,,,,
12/27/1999,PA-28-161,2240G,1,FCM FCM,1.9,,,2,,,,,,,,,1.9,,,,,,
12/29/1999,PA-28-161,2208V,1,FCM FCM,1.5,,,1,,,1.2,,,,,,1.5,,1.5,,,,
12/29/1999,PA-28-161,2240G,1,FCM FCM,1.1,,,4,,,,,,,,,1.1,,,,,,
